Label,Dist CenterA-CenterB,Dist min EdgeA-EdgeB,Dist min CenterA-EdgeB,Dist min EdgeA-CenterB
ObjA219_ObjB22,39.051,18.863,26.867,31.631
ObjA220_ObjB16,34.631,27.911,32.005,30.573
ObjA221_ObjB24,50.115,46.077,47.288,48.838
ObjA222_ObjB40,47.795,41.765,44.824,44.744
ObjA223_ObjB16,49.159,45.359,46.620,47.887
ObjA224_ObjB24,63.734,48.875,61.721,51.108
ObjA225_ObjB5,52.495,47.215,49.359,50.259
ObjA226_ObjB24,68.775,65.732,66.787,67.696
ObjA227_ObjB6,29.063,21.375,23.967,25.790
ObjA228_ObjB6,87.476,20.449,22.139,85.396
ObjA229_ObjB6,42.759,25.548,28.310,39.655
ObjA230_ObjB40,72.219,56.099,69.321,59.176
ObjA231_ObjB6,44.296,21.503,26.325,39.999
ObjA232_ObjB16,44.304,39.102,41.926,41.377
ObjA233_ObjB7,45.138,43.530,43.530,45.123
ObjA234_ObjB1,105.518,13.643,18.218,102.246
ObjA235_ObjB5,46.448,37.777,42.190,41.376
ObjA236_ObjB1,97.698,12.600,14.779,95.263
ObjA237_ObjB15,0.911,0.000,1.087,2.658
ObjA238_ObjB5,66.266,58.841,62.707,62.392
ObjA239_ObjB4,27.325,16.237,17.528,25.816
ObjA240_ObjB10,38.647,32.859,34.516,36.921
ObjA241_ObjB1,41.450,9.647,11.597,40.001
ObjA242_ObjB9,89.124,80.968,83.989,86.052
ObjA243_ObjB43,56.725,53.300,56.280,53.643
ObjA244_ObjB12,30.859,25.605,28.532,27.922
ObjA245_ObjB16,69.029,64.445,67.084,66.264
ObjA246_ObjB16,18.275,11.572,15.694,14.184
ObjA247_ObjB40,56.418,52.420,53.401,55.459
ObjA248_ObjB40,69.132,64.427,67.259,66.332
ObjA249_ObjB15,36.251,31.564,33.029,34.759
ObjA250_ObjB15,20.882,13.378,18.131,15.928
ObjA251_ObjB41,45.346,39.669,40.327,44.546
ObjA252_ObjB10,64.330,47.233,58.672,52.922
ObjA253_ObjB40,67.362,60.755,64.291,63.832
ObjA254_ObjB33,21.344,12.465,17.485,15.796
ObjA255_ObjB16,47.467,40.415,45.806,42.083
ObjA256_ObjB40,69.066,63.913,66.867,66.172
ObjA257_ObjB15,70.595,64.435,67.728,67.314
ObjA258_ObjB16,7.624,0.000,5.940,2.734
ObjA259_ObjB15,63.175,55.138,60.610,57.869
ObjA260_ObjB15,58.487,48.983,56.277,51.148
ObjA261_ObjB15,42.628,29.694,40.343,32.057
ObjA262_ObjB39,25.115,17.866,22.898,20.006
ObjA263_ObjB15,40.262,34.263,37.124,37.371
ObjA264_ObjB15,63.178,58.861,60.652,61.362
ObjA265_ObjB6,50.000,18.065,23.785,45.198
ObjA266_ObjB15,38.345,32.788,35.233,35.824
ObjA267_ObjB24,90.039,71.392,88.555,73.300
